"Welcome to the spreadsheet! Names of items need to be verified and sources still need to be included. Grey is for numbers that do not correspond to items. Teal is for items that need property data, comment to add since i'm tired of fixing the conditional formatting. Thanks for contributing. Gorgeous Simple Elegant Lively Mature Cute Sexy Pure Warm Cool",,,,,,,,,,,,,,,,
Rare,Item,Name,,,,,,,,,,,Tags,Tag 2,Sources,Set
2,1,Demeanor - Blue,,A,,A,,A,A,,,A,Denim,,"Recipe, Stage (4-6,m)",
2,2,Demeanor- Red,,a,,a,,a,s,,,a,Denim,,Customize,
2,3,Demeanor- Brown,,S,,S,,A,S,,,A,Denim,,Customize,
3,4,Assistant - Coat,s,,,a,,s,,s,a,,Unisex,,Recipe,
3,5,Sakura Raincoat,s,,,s,,a,,a,,a,Rainy Day,,Recipe,
,6,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,
2,8,Knit Vest - Blue,,S,B,,,A,,A,B,,Unisex,Britain,"Store, Mystery, Stage (3-3,m)",
2,9,Knit Vest- Brown,,s,,b,,a,,a,a,,Unisex,Britain,Customize,
2,10,Knit Vest-Pink,,A,B,,,A,,S,S,,Unisex,Britain,Customize,
3,11,Elite Vest,,S,A,,A,,A,,S,,Unisex,,"Mystery, Fantasy",
2,12,Lime Coat,,S,,A,,C,,A,,A,Unisex,,"Store, Stage (5-3,m)",
2,13,Pale Pink Coat,,S,B,,A,,,A,,B,Unisex,,Customize,
2,14,Light Brown Coat,,S,,S,B,,,A,,B,Unisex,,Customize,
3,15,Baseball Shirt-Black,,S,,A,,A,,A,S,,Unisex,,Recipe,
3,16,Baseball Shirt-Blue,,S,,S,,B,,S,A,,Unisex,,Customize,
4,17,Roland,,S,A,,S,,S,,,S,Unisex,,"Mystery, Fantasy",
5,18,Rose Garden,S,,S,,,S,,S,S,,Lolita,,Stage reward,
5,19,Steam Punk,S,,,A,,B,S,,,SS,European,,Exchanged Mystery,
4,20,Lady's Cloak,S,,S,,S,,,B,S,,European,,Fantasy,
3,21,Music Academy-Ink,,S,,A,,A,,A,S,,Preppy,Sun Care,Recipe,
3,22,Music Academy-Blue,,A,,A,,S,,A,S,,Preppy,Sun Care,Customize,
3,23,Music Academy-White,,A,,A,,A,,S,A,,Preppy,Sun Care,Customize,
4,24,Painter-Pink,,S,S,,A,,,S,S,,Sun Care,,Recipe,
4,25,Painter-Blue,,S,S,,,B,,SS,S,,Sun Care,,Customize,
4,26,Painter-Red,,S,,S,,C,,S,S,,Sun Care,,Customize,
4,27,Painter-White,,S,S,,,C,,SS,S,,Sun Care,,Customize,
3,28,Short Coat - Gray,,S,A,,S,,,A,A,,Unisex,Office,"Store, Mystery, Fantasy",
3,29,Short Coat-Beige,,A,A,,S,,,A,A,,Unisex,Office,Customize,
3,30,Short Coat-Orange,,A,S,,S,,,A,A,,Unisex,Office,Customize,
3,31,Short Coat-Blue,,A,S,,A,,A,,A,,Unisex,Office,Customize,
3,32,Office Beauty,,S,S,,A,,A,,A,,Office,,"Store, Mystery, Fantasy",
3,33,Cappuuccino,,S,B,,B,,,S,S,,Britain,,Recipe,
4,34,Colorful Butterfly,,S,B,,,S,,S,S,,Kimono,,Recipe,
4,35,Witch's Scarf,S,,S,,B,,,S,S,,Kimono,,Recipe,
3,36,Cowgirl,,S,,A,B,,S,,,S,Swordsman,,"Mystery, Fantasy, Stage (5-6,p)",
4,37,Cowboy Style,S,,,S,S,,A,,,S,Swordsman,,Evolution,
3,38,Pure Ink,,A,S,,S,,,A,C,,,,Store,
3,39,Trimmed T- Shirt,,S,,S,C,,S,,,S,Rock,,"Stage (1-8,m)",
4,40,Rebellious,S,,,S,,S,S,,B,,Rock,,Recipe,
3,41,Warm Robe,,S,,A,,A,,S,S,,Dryad,,"Mystery, Fantasy, Stage (3-10,p)",
4,42,Warm Robe-Rare,S,,,S,,A,,S,A,,Dryad,,Evolution,
,43,,,,,,,,,,,,,,,
4,44,Confession,,A,,S,,A,S,,S,,Dryad,,"Store, Mystery, Fantasy",
5,45,Pink Wings-Epic,S,,,A,,S,,S,,S,Classic China,Dance,Evolution,
5,46,Purple Wings-Epic,S,,B,,,SS,,SS,,S,Classic China,Dance,Customize,
3,47,Jellyfish,A,,,S,,S,,S,,A,Fairy,,"Mystery, Fantasy, Stage (4-1,p)",
5,48,Jellyfish-Rare,S,,,S,,S,,SS,,S,Fairy,,Evolution,
4,49,Orchid Cloak,A,,S,,,A,,S,S,,Classic China,,Mystery,
3,50,Equinox,S,,,A,,A,A,,,S,Kimono,,"Mystery, Fantasy, Stage (2-8,p)",
4,51,Higanbana-Rare,S,,A,,,B,S,,S,,Kimono,,"Evolution, Mystery, Fantasy",
5,52,Higanbana-Epic,SS,,S,,,A,S,,S,,Kimono,,Evolution,
,53,,,,,,,,,,,,,,,
,54,,,,,,,,,,,,,,,
4,55,Pink Wings,S,,？,,,A,,A,,A,Classic China,,"Mystery, Fantasy, Misty, Stage (3-4,p)",
4,56,Pink Wings-Rare,SS,,A,,,S,,S,,S,Classic China,,Evolution,
4,57,Montague Prince,S,,SS,,A,,S,,,B,Unisex,European,Recipe,
,58,,,,,,,,,,,,,,,
3,59,Home Beauty,S,,S,,A,,,B,,A,Modern China,,"Store, Mystery, Fantasy",
4,60,Iron Rose,,S,S,,S,,A,,A,,Unisex,Sun Care,"Mystery, Fantasy",
4,61,Sakura Rose,S,,,S,,S,,B,S,,Unisex,Sun Care,Customize,
,62,,,,,,,,,,,,,,,
,63,,,,,,,,,,,,,,,
,64,,,,,,,,,,,,,,,
3,65,Autumn Bird,,A,,S,,S,,B,A,,Winter,,Recipe,
,66,,,,,,,,,,,,,,,
,67,,,,,,,,,,,,,,,
4,68,Nanny's Gift,,A,,S,,S,,S,S,,Winter,,"Store, Mystery, Fantasy",
